#       num              flux       half_light_radius    bulge_flux       disc_flux        bulge_frac           g1               g2               x                y             offset_x         offset_y        noise_var     
              18   2.54254940e+01   1.85065296e-01   5.33379622e-01   5.76783444e-01   4.80451601e-01   3.41294876e-02  -5.55525490e-02   2.54135808e+01   2.39307221e+01   9.13580834e-01  -5.69277929e-01   1.00000000e-03
              19   3.32533770e+01   1.73953508e-01   2.11631477e+00   6.44883791e-01   7.66447875e-01   3.41294876e-02  -5.55525490e-02   2.47943396e+01   2.48557838e+01   2.94339604e-01   3.55783776e-01   1.00000000e-03
              20   3.10113236e+01   3.83664755e-01   5.95727969e-02   3.65512463e-01   1.40143173e-01   3.41294876e-02  -5.55525490e-02   2.47697389e+01   2.43542086e+01   2.69738896e-01  -1.45791380e-01   1.00000000e-03
              21   1.58329092e+01   2.17044230e-01   1.32152856e+00   3.37957849e-01   7.96347927e-01   3.41294876e-02  -5.55525490e-02   2.51673610e+01   2.42738066e+01   6.67360954e-01  -2.26193408e-01   1.00000000e-03
              22   1.98321489e+01   4.67106223e-01   1.21978713e+00   9.74831622e-01   5.55808215e-01   3.41294876e-02  -5.55525490e-02   2.43770307e+01   2.35790857e+01  -1.22969285e-01  -9.20914298e-01   1.00000000e-03
              23   5.67496756e+01   3.74949845e-01   9.43665908e-02   5.89118669e-01   1.38066753e-01   3.41294876e-02  -5.55525490e-02   2.35428804e+01   2.47291357e+01  -9.57119551e-01   2.29135736e-01   1.00000000e-03
              24   1.59913861e+01   1.93509917e-01   3.58284224e-01   4.89304888e-01   4.22709800e-01   3.41294876e-02  -5.55525490e-02   2.50353829e+01   2.40840400e+01   5.35382883e-01  -4.15959971e-01   1.00000000e-03
              25   4.61619903e+01   3.20935590e-01   1.75476755e-01   9.67474305e-01   1.53529544e-01   3.41294876e-02  -5.55525490e-02   2.54849955e+01   2.43822314e+01   9.84995506e-01  -1.17768615e-01   1.00000000e-03
              26   2.55470358e+01   2.68970446e-01   1.29628540e-02   2.50584213e-01   4.91861061e-02   3.41294876e-02  -5.55525490e-02   2.52766686e+01   2.53706350e+01   7.76668638e-01   8.70634952e-01   1.00000000e-03
              27   1.62426660e+02   4.55160505e-01   2.07097220e+00   7.02917902e-01   7.46594899e-01   3.41294876e-02  -5.55525490e-02   2.38823364e+01   2.38618891e+01  -6.17663600e-01  -6.38110904e-01   1.00000000e-03
              28   2.20694806e+01   2.23443028e-01   1.57133398e+00   6.77128579e-01   6.98848185e-01   3.41294876e-02  -5.55525490e-02   2.36979559e+01   2.38462921e+01  -8.02044130e-01  -6.53707950e-01   1.00000000e-03
              29   7.42314763e+01   5.56289920e-01   8.81561779e-02   5.32259267e-01   1.42092172e-01   3.41294876e-02  -5.55525490e-02   2.47436326e+01   2.53074116e+01   2.43632579e-01   8.07411627e-01   1.00000000e-03
              30   1.53474919e+01   2.93879173e-01   1.33949992e-01   4.57124606e-01   2.26621127e-01   3.41294876e-02  -5.55525490e-02   2.40273728e+01   2.38842106e+01  -4.72627177e-01  -6.15789370e-01   1.00000000e-03
              31   1.06225631e+02   2.23669800e-01   8.13084563e-01   3.90813222e-01   6.75376741e-01   3.41294876e-02  -5.55525490e-02   2.54152318e+01   2.40661083e+01   9.15231849e-01  -4.33891750e-01   1.00000000e-03
              32   2.95842293e+02   1.75091777e-01   8.67519176e-02   2.30005930e-01   2.73874565e-01   3.41294876e-02  -5.55525490e-02   2.47618703e+01   2.42938723e+01   2.61870350e-01  -2.06127717e-01   1.00000000e-03
              33   1.68505849e+01   1.55896115e-01   2.86062152e-03   8.69671904e-01   3.27852709e-03   3.41294876e-02  -5.55525490e-02   2.42984299e+01   2.37429742e+01  -2.01570111e-01  -7.57025839e-01   1.00000000e-03
              34   1.49434152e+02   3.99299701e-01   1.96504871e-03   5.45072000e-01   3.59216751e-03   3.41294876e-02  -5.55525490e-02   2.48435555e+01   2.50459228e+01   3.43555514e-01   5.45922789e-01   1.00000000e-03
              35   1.77218838e+01   2.11235377e-01   1.41431314e-01   7.71931235e-01   1.54846851e-01   3.41294876e-02  -5.55525490e-02   2.39687281e+01   2.50595480e+01  -5.31271860e-01   5.59548035e-01   1.00000000e-03
              36   1.98203235e+01   2.74923200e-01   2.52791772e-02   1.02345258e-01   1.98074742e-01   3.41294876e-02  -5.55525490e-02   2.52604756e+01   2.50729018e+01   7.60475591e-01   5.72901769e-01   1.00000000e-03
              37   4.45678616e+01   7.33244416e-01   2.93450864e-02   2.26328233e-02   5.64568421e-01   3.41294876e-02  -5.55525490e-02   2.49629951e+01   2.40212784e+01   4.62995059e-01  -4.78721603e-01   1.00000000e-03
              38   3.62077779e+01   6.15004858e-01   3.32079007e-03   2.33697641e-01   1.40106828e-02   3.41294876e-02  -5.55525490e-02   2.39179826e+01   2.37580980e+01  -5.82017425e-01  -7.41902027e-01   1.00000000e-03
              39   2.47537771e+02   4.88555396e-01   7.68400436e-03   9.03688224e-02   7.83659647e-02   3.41294876e-02  -5.55525490e-02   2.53830850e+01   2.53519512e+01   8.83085007e-01   8.51951167e-01   1.00000000e-03
              40   1.50868381e+02   3.77052182e-01   1.84635115e+00   4.81862556e-01   7.93033365e-01   3.41294876e-02  -5.55525490e-02   2.42700217e+01   2.48316844e+01  -2.29978300e-01   3.31684417e-01   1.00000000e-03
              41   1.63351050e+01   3.21933053e-01   1.78866528e-02   9.11586410e-01   1.92438635e-02   3.41294876e-02  -5.55525490e-02   2.50396181e+01   2.49416134e+01   5.39618118e-01   4.41613359e-01   1.00000000e-03
              42   1.33979282e+02   2.49750665e-01   3.57414558e-01   4.52571730e-01   4.41260011e-01   3.41294876e-02  -5.55525490e-02   2.49062056e+01   2.48690831e+01   4.06205596e-01   3.69083108e-01   1.00000000e-03
              43   1.92859876e+01   1.93522951e-01   1.46936758e+00   7.41002224e-01   6.64760972e-01   3.41294876e-02  -5.55525490e-02   2.47695691e+01   2.37896098e+01   2.69569105e-01  -7.10390205e-01   1.00000000e-03
              44   5.13029000e+01   3.39635058e-01   8.30096251e+00   1.45189181e-01   9.82810020e-01   3.41294876e-02  -5.55525490e-02   2.44551327e+01   2.53322454e+01  -4.48672557e-02   8.32245426e-01   1.00000000e-03
              45   2.03683375e+01   2.81096644e-01   1.33709400e-01   1.45596195e-01   4.78720808e-01   3.41294876e-02  -5.55525490e-02   2.36326434e+01   2.37139298e+01  -8.67356614e-01  -7.86070204e-01   1.00000000e-03
              46   1.48441859e+01   2.06767402e-01   3.96547613e-01   2.51567353e-01   6.11847641e-01   3.41294876e-02  -5.55525490e-02   2.42912633e+01   2.50540826e+01  -2.08736694e-01   5.54082585e-01   1.00000000e-03
              47   3.68593798e+01   3.72295522e-01   6.47127861e-01   3.89270623e-01   6.24400625e-01   3.41294876e-02  -5.55525490e-02   2.36668762e+01   2.53498004e+01  -8.33123759e-01   8.49800360e-01   1.00000000e-03
              48   4.38270628e+01   3.80435780e-01   5.37603786e-01   1.54080056e-01   7.77239186e-01   3.41294876e-02  -5.55525490e-02   2.47777974e+01   2.42469660e+01   2.77797421e-01  -2.53034033e-01   1.00000000e-03
              49   1.68610187e+02   2.75589424e-01   1.31540409e-01   7.21986992e-01   1.54113867e-01   3.41294876e-02  -5.55525490e-02   2.42958932e+01   2.43496158e+01  -2.04106786e-01  -1.50384201e-01   1.00000000e-03
              50   1.03316912e+02   2.21457752e-01   4.01123527e-02   9.98527143e-01   3.86200918e-02   3.41294876e-02  -5.55525490e-02   2.37845372e+01   2.49590851e+01  -7.15462763e-01   4.59085069e-01   1.00000000e-03
              51   4.67753389e+02   2.37697382e-01   1.24723051e+00   9.72025338e-01   5.62003931e-01   3.41294876e-02  -5.55525490e-02   2.39786542e+01   2.50354888e+01  -5.21345799e-01   5.35488848e-01   1.00000000e-03
              52   2.33983841e+02   4.49750969e-01   1.63585668e+01   3.37162933e-01   9.79805439e-01   3.41294876e-02  -5.55525490e-02   2.38919206e+01   2.47581023e+01  -6.08079384e-01   2.58102331e-01   1.00000000e-03
              53   6.17479494e+01   1.83220404e-01   2.48449865e-01   6.93514537e-01   2.63757170e-01   3.41294876e-02  -5.55525490e-02   2.46661194e+01   2.54544257e+01   1.66119381e-01   9.54425675e-01   1.00000000e-03
              54   2.05864765e+01   1.76659381e-01   3.97387430e-02   2.38905937e-01   1.42614397e-01   3.41294876e-02  -5.55525490e-02   2.50772290e+01   2.50873251e+01   5.77228998e-01   5.87325143e-01   1.00000000e-03
              55   2.81558601e+01   1.74082651e-01   7.90845139e-01   9.02037835e-01   4.67158776e-01   3.41294876e-02  -5.55525490e-02   2.50745889e+01   2.52085883e+01   5.74588926e-01   7.08588306e-01   1.00000000e-03
              56   9.23127968e+01   3.16553015e-01   6.86643998e-02   4.28398684e-01   1.38140212e-01   3.41294876e-02  -5.55525490e-02   2.51248930e+01   2.37850235e+01   6.24893035e-01  -7.14976542e-01   1.00000000e-03
              57   6.13095812e+01   2.92699413e-01   1.32186270e+00   3.83903566e-01   7.74937767e-01   3.41294876e-02  -5.55525490e-02   2.41340845e+01   2.42988108e+01  -3.65915459e-01  -2.01189204e-01   1.00000000e-03
